0  8  10  12  14  X
4096  0.0186  0.0158  0.0158  0.0156  0.0156
40960  0.0150  0.0062  0.0056  0.0050  0.0049
81920  0.0115  0.0051  0.0045  0.0036  0.0035


0  8  10  12  14  X
4096  0.0163  0.0157  0.0157  0.0156  0.0156
40960  0.0061  0.0051  0.0051  0.0049  0.0049
81920  0.0051  0.0037  0.0037  0.0035  0.0035


0  8  10  12  14  X
4096  0.0156  0.0155  0.0157  0.0156  0.0156
40960  0.0051  0.0049  0.0050  0.0049  0.0049
81920  0.0036  0.0035  0.0035  0.0035  0.0035


0  8  10  12  14  X
4096  0.0156  0.0156  0.0156  0.0156  0.0156
40960  0.0051  0.0049  0.0049  0.0049  0.0049
81920  0.0036  0.0035  0.0035  0.0035  0.0035


0  8  10  12  14  X
4096  0.0156  0.0156  0.0156  0.0156  0.0156 
40960  0.0050  0.0049  0.0049  0.0049  0.0049
81920  0.0035  0.0035  0.0035  0.0035  0.0035


0  8  10  12  14  X
4096  0.0156  0.0156  0.0156  0.0156  0.0156 
40960  0.0049  0.0049  0.0049  0.0049  0.0049
81920  0.0035  0.0035  0.0035  0.0035  0.0035

